NAME,VAL
5981432,19.9526
409027,0.316228
1221964,7.94328
16231,19.9526
5464763,3.16228
3234108,12.5893
3232994,5.01187
3232996,12.5893
234909,3.16228
3232992,3.98107
3234102,3.16228
3234105,39.8107
1483131,15.8489
5909558,28.1838
6603729,12.5893
5348064,15.8489
6603723,5.01187
6603721,12.5893
6603727,0.8716895
6603726,0.125893
6603725,0.630957
3233251,39.8107
2204633,2.81838
4573654,7.94328
824053,14.1254
3234380,19.9526
2531714,0.630957
5311200,11.89609
3242293,25.1189
1746062,3.16228
3538,28.37085
726885,3.16228
222760,7.94328
9551982,28.1838
9551983,15.8489
5389566,28.1838
5389205,28.1838
931273,25.1189
3246008,3.16228
920396,35.4813
6101692,31.6228
6604557,12.5893
6604556,2.51189
4625332,19.9526
175533,0.316228
3608992,12.5893
3233736,15.8489
1568082,6.30957
3233735,19.9526
6604731,0.630957
6604730,0.398107
6604733,31.6228
3233731,39.8107
662011,4.46684
6604739,0.0125893
3233738,7.94328
3233228,31.6228
3233225,7.94328
3233226,31.6228
3233227,12.5893
5188751,0.0223872
805524,10.0
296473,3.98107
3193591,0.446684
3233986,10.0
727028,25.1189
56642946,25.1189
1150,31.6228
651607,1.0
3243650,19.9526
651603,7.94328
238856,3.16228
3233745,19.9526
6604046,3.98107
3147109,12.5893
792950,7.07946
848358,15.8489
5731923,4.46684
656216,10.0
843984,1.25893
998857,8.91251
2238533,17.7828
3234829,19.9526
3234826,10.0
3234824,25.1189
3234823,7.94328
3234822,10.0
3234821,10.0
4299,31.6228
777053,15.8489
443371,3.16228
2883512,15.8489
16758734,3.98107
3233748,19.9526
2887603,0.0125893
9581768,28.1838
3235195,12.5893
3235197,15.8489
3235190,39.8107
3235193,3.98107
731641,12.5893
3235199,39.8107
5458244,5.01187
11958727,0.0707946
9638237,0.630957
1471768,10.0
2012165,1.25893
4163426,19.9526
1190196,3.54813
5936093,3.54813
3245387,8.91251
2845213,3.54813
2766428,15.8489
3237849,0.177828
2039735,19.9526
9563791,2.81838
3239705,14.1254
233979,1.99526
2726,0.278298
3119182,7.94328
70583,0.501187
3233856,12.5893
2949518,15.8489
655866,4.46684
11948915,3.98107
3232588,15.8489
2086786,25.1189
867822,7.94328
3236649,15.8489
6901077,11.2202
1437901,25.1189
3233037,12.5893
3233036,39.8107
3233030,19.9526
6604944,19.9526
3233032,6.30957
3232619,15.8489
3232612,7.94328
3232610,2.51189
3232617,15.8489
2155329,8.91251
1701,39.8107
5265,1.69892666667
5393145,0.251189
2161090,14.1254
860305,7.94328
3238616,17.7828
3098751,15.8489
1541054,0.0794328
1541053,2.23872
415609,3.16228
3242715,31.6228
3242716,7.94328
3242710,7.94328
688441,39.8107
3242712,15.8489
3233691,7.94328
3233690,12.5893
3233693,19.9526
3233696,3.98107
3025,7.94328
1463915,14.1254
660660,0.112202
4199,7.94328
3233526,7.94328
3235349,12.5893
3235341,39.8107
3235342,10.0
3235347,10.0
3233968,7.94328
3235450,7.94328
3233963,19.9526
6604051,15.8489
3233961,5.01187
3233960,1.0
3233967,39.8107
3233966,25.1189
3233965,2.51189
659575,25.1189
2941207,0.354813
5771710,1.99526
3235525,12.5893
3235524,3.98107
3235527,19.9526
3235526,15.8489
3235521,0.398107
244996,3.98107
3235528,31.6228
3216679,15.8489
1367993,15.8489
3157311,14.1254
2831754,17.7828
2967412,0.125893
2978600,14.1254
232736,3.98107
5458656,4.41073
11957121,3.16228
3960826,1.0
6759,12.5893
2947140,28.1838
6602710,10.0
92766,20.1559435
2978939,15.8489
9551614,0.251189
2238272,7.94328
3233247,2.51189
3234129,0.0794328
678668,3.98107
3232979,19.9526
3232978,39.8107
3232977,31.6228
3232972,1.58489
3232971,15.8489
6604715,1.99526
3233713,25.1189
6603703,31.6228
734553,12.5893
1257248,0.794328
983887,31.6228
3242279,28.1838
3242274,19.9526
2998040,10.0
5073,5.55278
3218172,0.398107
3225118,7.94328
1476742,17.7828
3245595,19.9526
6604533,1.0
3105009,0.199526
5386259,0.0354813
5387,5.01187
6604539,5.01187
790786,12.5893
3246020,3.98107
2120718,31.6228
1756,39.8107
54687453,0.1
4605800,0.199526
3239068,25.1189
3233750,3.16228
3233751,39.8107
6604289,3.16228
3233755,12.5893
3233204,5.01187
3233205,19.9526
3233759,19.9526
664974,1.0
23975045,22.3872
3978672,10.0
769614,3.16228
15136,31.6228
3243636,25.1189
2288767,7.07946
3217884,5.01187
3234464,10.0
3234463,0.1
3234462,19.9526
3234469,19.9526
3247290,12.5893
656232,0.00707946
3236319,22.3872
2932002,1.99526
3234808,25.1189
4149975,5.62341
3234801,39.8107
3234803,19.9526
3234802,0.251189
3234807,0.158489
3234806,19.9526
4142111,28.1838
3235453,19.9526
16758242,2.51189
16758716,3.16228
16758246,3.16228
3233984,12.5893
3235142,12.5893
3524600,17.7828
240684,2.51189
2836220,35.4813
2960486,15.8489
6603138,15.8489
423416,1.58489
241482,2.51189
2982322,3.98107
3220716,6.30957
5292846,12.5893
2703,25.1189
1096495,0.0562341
9563838,14.1254
2867713,4.46684
665964,15.8489
522335,0.501187
5392010,1.99526
2950036,3.16228
1480803,12.5893
3238054,10.0
2480666,5.62341
3234256,5.01187
3234257,0.251189
3234252,39.8107
3234253,10.0
134117,0.125893
3234786,12.5893
3234787,10.0
3234784,1.99526
979802,15.8489
3234782,5.01187
3234780,39.8107
1548976,0.630957
6604024,8.800585
2870139,5.01187
1727,0.0630957
132846,0.0501187
3593687,12.5893
698373,12.5893
1254592,2.51189
415629,3.98107
3242738,14.1254
4877285,14.1254
91430,3.16228
3148114,15.8489
3325793,0.794328
6604451,5.01187
1887373,15.8489
3243283,8.91251
3243287,39.8107
3235322,19.9526
3235321,25.1189
3235320,15.8489
3235325,10.0
3235324,3.16228
3235329,10.0
3235328,12.5893
3233417,39.8107
3233944,3.98107
3233947,0.316228
3233414,0.158489
3233413,19.9526
3233940,3.16228
3233943,19.9526
3233942,3.16228
1266500,17.7828
6178111,10.0
3233949,6.30957
3237253,15.8489
4555838,0.1
4564402,0.199526
4544025,17.7828
3233833,3.16228
5771734,14.1254
425818,3.98107
5433464,11.2202
1451796,5.01187
6713880,3.16228
3233161,3.98107
11958881,14.1254
11958883,14.1254
4359989,7.94328
11958885,0.223872
6603898,1.0
748441,6.30957
6603895,0.630957
6603897,12.5893
6603896,0.0630957
6603891,8.716895
6603890,10.0
3152148,15.8489
4239764,0.0398107
9593639,0.794328
16758496,3.98107
3236121,25.1189
107935,0.0630957
5395106,7.94328
4276794,10.0
3232959,39.8107
3232958,12.5893
3232951,3.16228
3232953,1.25893
3232954,7.94328
3232957,15.8489
3232956,15.8489
3351955,14.1254
5280953,7.94328
