ID	apKa1	bpKa1	atoms
3232698	18.17	5.09	14,10
3232699		1.48	5
3232700		7.12	2
3232701	15.75	1.66	3,5
3232702	17.81	5.30	8,12
3232703		8.99	24
3232704		7.50	2
3232705	9.56	6.29	5,21
3232706	18.61	4.66	8,12
3232707		-0.96	15
3232708		8.68	18
3232709		8.68	16
3232710		7.13	16
3232711		9.47	11
3232712		7.13	16
3232713		0.08	15
3232715		-0.83	14
3232716		3.23	15
3232717		6.08	13
3232718	18.89	9.18	9,23
3232722		8.54	8
3232723		8.68	12
3232724		8.68	25
3232726		1.37	14
3232728		-0.13	13
3232730		0.06	9
3232733		-0.79	19
3232734		10.07	21
3232735		-1.68	8
3232736		0.14	20
3232737	17.44	4.80	27,21
3232738		3.23	20
3232739		8.68	23
3232740		5.68	13
3232741	17.57	4.94	9,13
3232742	15.48	5.22	4,11
3232743		8.72	22
3232744		8.55	8
3232745		9.08	8
3232746		6.29	18
3232747	18.33	5.03	12,27
3232748	17.92	5.08	18,14
3232749		-0.64	8
3232750		5.69	13
3232751		9.00	8
3232752		6.45	4
3232753		-0.82	19
3232758		-0.77	4
3232760		8.68	19
3232761	13.14	0.42	18,15
3232763	9.69	4.77	27,18
3232764		-1.04	13
3232765		-1.72	9
3232766		1.35	11
3232767		8.72	20
3232768		6.44	4
3232769		6.44	4
3232771	16.13	4.06	22,13
3232772	17.89	4.76	22,21
3232773	15.69	1.59	3,5
3232774		6.96	12
3232775	17.63	4.97	10,14
3232776		8.56	10
3232777	15.71	1.62	3,5
3232779	9.47	4.80	5,17
3232780		5.28	7
3232781		6.45	19
3232782	12.70	0.31	13,10
3232783		8.68	15
3232784	18.50	4.76	10,14
3232785		9.11	13
3232786	17.20	4.97	7,11
3232787	19.46	6.57	19,22
3232788		-1.68	8
3232790	15.71	1.65	3,5
3232792	15.75	1.66	3,5
3232795		4.14	16
3232796		-0.51	14
3232797	14.38	6.28	19,23
3232798		-0.85	11
3232799	17.44	5.46	23,13
3232800	17.26	4.97	15,11
3232801		-0.26	17
3232802		-0.78	11
3232806	18.49	4.73	19,18
3232809	12.70	0.41	12,9
3232811		7.12	2
3232812	18.70	5.04	5,20
3232813		1.40	10
3232814		-0.73	6
3232815	18.50	4.76	12,16
3232817	18.63	4.87	14,20
3232818		8.43	8
3232819	16.06	4.12	7,15
3232820		3.30	9
3232821		0.10	6
3232822		6.29	19
3232823		4.40	11
3232824	17.44	5.23	21,12
3232825		0.05	14
3232827		-0.96	17
3232828	12.75	0.49	21,19
3232829	19.55	6.80	19,22
3232830		-0.63	8
3232832	18.34	9.42	21,2
3232833		-0.65	8
3232835		1.37	17
3232836	15.71	1.61	3,5
3232837		-0.85	19
3232839	18.50	5.03	8,23
3232840	15.71	1.62	3,5
3232841	14.05	-2.41	9,11
3232842	17.41	4.78	18,9
3232843	18.56	3.94	14,9
3232845	13.42	-1.96	7,9
3232846		10.07	15
3232848	13.50	7.30	21,19
3232849		-0.47	20
3232850		9.18	2
3232852		1.36	17
3232854	13.14	0.41	7,9
3232855	15.71	1.62	3,5
3232856		-0.44	11
3232857	15.75	1.64	3,5
3232859		-0.81	18
3232860	19.48	5.10	20,2
3232861		1.36	15
3232862		4.91	16
3232863		8.76	17
3232866	15.51	4.96	4,15
3232867		-1.72	9
