ID	apKa1	bpKa1	atoms
85271097	12.50	-4.74	15,25
85271094	11.43	-4.53	9,2
85271093	11.21	-7.10	9,15
85271091	12.92	-2.54	18,11
85271089	14.23	-4.91	8,16
85271084	12.50	1.37	16,29
85271083	3.09	0.45	31,8
85271078	11.43	-3.99	9,30
85271077	12.37	1.61	14,5
85271073	13.06	-4.59	11,2
85271072	14.84	-6.82	13,12
85271070	12.50	-2.22	16,27
85271055	18.43	-4.07	18,24
85271053	18.74	1.61	15,13
85271048	14.59	-4.14	11,27
85271045	13.93	-0.68	9,20
85271042	11.57	-4.00	17,31
85271041	12.54	-3.34	14,26
85271029	11.57	-3.07	23,13
85271028	14.29	-4.84	9,17
85271024	18.43	2.30	22,18
85271020	13.25	-4.17	11,21
85271019	12.43	-2.87	5,24
85271018	14.35	-4.59	19,2
85271013	8.39	-4.42	32,32
85271004	16.69	-4.06	13,29
85271000	14.10	-0.84	20,19
85270995	11.95	-7.08	21,16
85270994	12.98	-4.04	7,27
85270993	18.37	-4.14	15,31
85270989	8.95	-4.64	26,26
85270987	10.33	-6.17	11,25
85270985	14.07	-3.15	8,10
85270982	13.35	1.30	10,6
85270977	13.07	-2.90	9,36
85270976	13.95	9.49	13,21
85270975	7.89	-4.85	12,2
85270970	9.47		11
85270965	10.82	0.51	7,4
85270961	14.70	-2.90	34,34
85270960	10.52	-3.86	9,12
85270959	13.34	8.03	12,2
85270957	8.50	-4.96	6,7
85270956	7.72	0.00	26,25
85270954	8.89	-3.85	8,26
85270953	12.49	-2.96	13,36
85270952	7.89	-4.52	26,33
85270943	18.43	2.20	20,16
85270942	11.22	-2.54	18,11
85270940	11.48	-4.44	23,9
85270939	13.62	-6.58	17,11
85270935	14.55	1.31	16,9
85270930	12.68	-6.78	10,16
85270927	12.76	-6.73	9,15
85270922	11.65	-4.87	9,2
85270921	18.46	-4.61	10,20
85270917	14.06	5.15	7,21
85270916	18.47	-4.62	14,2
85270914	18.40	-2.23	14,22
85270905		-4.89	23
85270904	12.94	-4.51	16,8
85270903	9.82	-5.97	25,11
85270902	7.85	-0.37	7,10
85270899	9.87	-4.86	9,2
85270896	10.33	-2.91	13,23
85270895	8.07	-4.14	10,19
85270888	9.31	0.80	20,12
85270887	11.75	-3.39	13,16
85270886	9.86	5.62	28,30
85270885	13.33	-6.86	13,8
85270884	16.25	3.54	13,5
85270882	11.36	-6.20	9,12
85270878	10.52	-4.65	23,25
85270871	18.74	1.70	11,18
85270869	13.25	1.15	7,11
85270865	2.81	-4.76	26,2
85270864	11.32	-6.20	22,11
85270863	8.87	-4.63	15,18
85270861	13.98	-4.46	18,2
85270859	10.05	-4.02	29,18
85270858	13.28	2.99	11,3
85270854	15.74	-1.61	1,30
85270853	9.20	-4.45	27,34
85270851	5.07	-4.40	10,13
85270845	12.74	-3.83	12,27
85270844	9.37	-2.86	15,9
85270842	12.86	-3.85	12,27
85270840	9.99	-6.01	16,15
85270839	9.99	-5.59	16,15
85270837	12.28	-4.04	12,28
85270832	3.35	-2.87	29,6
85270829	9.20	-1.22	11,17
85270824	10.65	-6.94	20,9
85270822	18.47	-6.00	14,13
85270821	2.23	-4.14	34,29
85270816	18.37	-2.53	14,10
85270801	13.93	-3.80	17,19
85270800	10.88	-3.91	19,13
85270798	6.35	3.55	12,23
85270796	15.19	3.50	14,11
85270792	10.05	2.45	18,3
85270791	9.80	-4.62	8,22
85270790		-3.62	9
85270789	13.62	-3.87	16,15
85270787	9.07	-2.38	11,14
85270784	13.72	1.29	11,6
85270781		-2.70	12
85270780	15.55	-4.44	16,11
85270778	10.17	0.01	9,16
85270776	9.71	-2.43	21,20
85270775	13.42	6.27	28,12
85270774	15.19	9.15	19,28
85270773	9.58	-1.16	26,6
85270768	10.46	-1.09	19,21
85270766	13.87	-4.03	21,27
85270764	11.57	-2.06	15,25
85270763	10.22	-6.51	29,11
85270760	13.13	8.13	15,3
85270759	10.26	-4.14	23,30
85270758	15.44	-1.04	20,13
85270755	9.19	5.55	24,2
85270748	13.88	-4.40	12,14
85270746	18.45	-6.57	14,13
85270736	14.06	8.58	21,25
85270735	10.16	-2.32	15,11
85270734	8.61	-6.20	22,24
85270733	13.63	5.68	6,32
85270732		5.92	2
85270729		1.41	6
85270726	9.37	-4.05	29,2
85270723	9.91	2.92	29,21
85270721	13.25	-0.01	9,22
85270720	12.28	-1.22	15,23
85270718	9.20	-4.55	10,33
85270715	7.91	7.09	9,29
85270714	11.43	-2.29	6,17
85270713	13.75	-2.01	12,10
85270706	10.20	-7.05	26,11
85270705	14.56	-4.08	21,15
85270704		5.09	12
85270696	9.17	-2.51	13,8
85270694	12.11	1.53	13,6
85270690	8.27	-1.78	10,20
85270686	3.47	0.79	37,11
85270683	8.49	-4.14	29,26
85270682	10.17	-2.58	20,15
85270678	13.21	-5.85	9,11
85270677	10.69	-5.64	8,11
85270669		-6.91	10
85270660	9.88	2.78	27,6
85270658	8.61	1.08	27,23
85270653	12.01	6.75	8,12
85270652	13.26	-4.68	17,9
85270651	13.52	-1.69	23,17
85270650	11.39	-4.02	32,17
85270648	9.65	2.65	13,5
85270647	13.92	3.20	9,20
85270646		-2.69	9
85270645	14.73	-4.59	13,2
85270643	8.52	-2.11	27,20
85270641	11.38	-4.07	9,30
85270638	11.37	-5.62	13,23
85270634	17.56	3.43	15,7
85270629	10.16	-4.42	20,32
85270624	15.16	1.57	5,15
85270623	8.75	-1.75	19,10
85270622	12.00	-1.68	9,21
85270620		-4.52	2
85270613	12.56	0.11	5,12
85270609	9.31	-4.23	15,25
85270607	13.17	2.20	10,17
85270605	9.20	-4.55	11,17
85270596	10.71	-5.64	9,12
85270590	9.99	-7.08	13,16
85270587	8.03	-7.05	17,14
85270585	8.52	-2.12	32,21
85270582	13.09	-1.60	16,9
85270580	12.39	-0.68	11,22
85270578	10.22	-4.83	29,2
85270574	14.86	-3.96	11,4
85270570	13.02	-6.67	8,10
85270566	11.31	-2.54	18,11
85270560	13.92	-1.36	11,22
85270559	13.84	-1.49	7,17
85270555	10.99	-4.94	5,23
85270553	13.18	-4.53	13,2
85270549	13.24	-0.01	8,21
85270546	10.30	-5.53	8,20
85270545	15.06	3.71	19,12
85270542	7.87	-4.65	5,19
85270538	10.22	-1.11	30,17
85270537		4.78	17
85270536	12.03	-4.34	9,2
85270534	12.67	-3.67	19,18
85270533	11.60	-3.78	23,22
85270530		-1.33	13
85270527	13.90	-4.43	13,9
85270526	12.29	-6.61	7,9
85270523	13.66	1.85	18,12
85270522		6.22	2
85270521	9.41	-0.58	20,18
85270519		5.28	10
85270518	10.60	-4.76	8,32
85270516	2.92		31
85270512	16.89	2.19	13,17
85270511	10.22	-6.63	29,16
85270510	13.72	5.75	29,7
85270508	3.96	1.28	24,14
85270503	17.84	-3.97	18,20
85270502	14.70	6.14	13,26
85270501	14.07	-2.91	28,35
85270499	13.62	-3.68	13,12
85270498	14.59	-0.28	16,5
85270497	14.67	2.08	16,20
85270496	12.97	-1.33	12,24
85270494	9.65	2.48	13,5
85270491	11.35	2.55	8,15
85270490	12.65	-4.62	16,24
85270489	15.19	-2.90	2,22
85270488	13.86	-4.67	12,28
85270484	11.22	-2.92	9,6
85270482	14.13	-1.10	11,10
85270481	12.18	-2.10	22,21
85270479	9.19	0.91	12,30
85270472	14.07	-2.91	28,35
85270469	7.40	4.11	11,25
85270462	15.10	0.74	17,10
85270461	11.08	0.62	15,20
85270459	12.17	-3.72	9,11
85270454	7.76	-2.47	9,21
85270453	8.75	2.87	19,11
85270451	12.47	5.60	5,20
85270446	9.91	2.92	28,20
85270442	10.10	-4.43	28,3
85270438	13.51	-4.93	16,2
85270436	10.46	-1.14	20,22
85270435	11.43	1.77	9,24
85270434	9.35	-1.04	21,11
85270432	13.32	-1.67	17,19
85270431	9.53	-0.04	21,14
85270429	13.25	-5.78	9,22
85270427	9.26	-6.85	15,10
85270419	14.95	-4.54	11,2
85270414	11.58	2.06	14,20
85270411	16.20	-3.40	2,23
85270410	8.61	-6.20	19,21
85270409	9.37	-4.52	22,23
85270407	10.17	-0.18	18,21
85270398	12.88	-3.99	24,15
85270395	9.60	-3.99	16,19
85270394	10.08	3.84	10,27
85270393	11.76	3.20	19,14
85270391	9.17	1.44	10,16
85270388	9.81	-2.82	13,13
85270386	13.26	-6.44	19,14
85270380	9.93	-0.41	22,23
85270379	16.07	-4.42	1,10
85270377	8.53	-4.90	10,15
85270374	13.12	2.20	10,17
85270372	13.88	-2.87	18,25
85270371	12.55	-3.71	18,20
85270368	13.55	1.15	13,17
85270367	13.25	-6.26	6,5
85270366	7.45	-3.87	24,16
85270365		-0.95	18
85270364	12.01	5.29	24,3
85270363	11.18	-2.47	29,8
