ID,SEL_100,VAL,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
83771,0.0,0.28,-6.73,0.68,5.05,acidic,acidic,acidic,283.112,-1.753,-3.35,148.18,5,8,green,green,green
120740,0.27,0.68,0.87,8.9,-0.9,neutral,neutral,neutral,385.498,0.854,0.88,118.97,4,5,green,green,green
1328364,0.0,0.15,4.66,11.23,1.89,neutral,neutral,neutral,485.577,4.737,4.66,107.76,4,4,yellow,yellow,red
1311637,0.0,0.26,3.48,13.17,2.7,neutral,neutral,neutral,288.143,4.036,3.48,54.7,2,1,yellow,green,yellow
47469,0.74,0.86,4.93,,9.2,basic,basic,basic,492.697,8.81,7.6,49.84,2,2,red,yellow,red
1348359,0.07,0.85,0.31,11.59,9.52,basic,basic,basic,362.422,2.531,2.4,96.25,4,2,green,green,green
155006,0.68,0.86,4.57,13.51,7.46,basic,basic,neutral,448.385,5.036,4.9,44.81,1,2,yellow,yellow,red
21021,0.0,0.4,1.99,13.35,-2.25,neutral,neutral,neutral,278.347,2.184,1.99,59.59,2,3,green,green,green
597302,0.72,0.82,2.9,3.77,-3.47,acidic,acidic,acidic,755.921,4.412,3.85,180.52,3,9,yellow,red,yellow
1295771,0.0,1.0,3.17,11.55,-4.66,neutral,neutral,neutral,351.155,2.614,3.17,89.35,1,5,yellow,green,yellow
115,0.46,0.78,-0.31,,8.86,basic,basic,basic,162.232,1.11,1.16,16.13,0,1,green,green,green
123571,0.63,0.73,-1.18,19.07,8.08,basic,basic,neutral,298.343,-0.144,-0.41,104.84,2,4,green,green,green
1321636,0.05,0.38,4.46,8.32,3.85,neutral,neutral,neutral,384.227,4.068,4.51,81.93,2,4,yellow,green,red
78759,0.35,0.87,0.1,8.0,9.93,basic,basic,basic,543.519,0.435,0.86,206.07,6,11,green,red,green
64671,0.81,0.81,-5.75,3.29,2.26,acidic,acidic,acidic,587.587,0.806,0.31,248.43,5,10,green,red,green
40962,0.04,0.15,2.19,15.17,8.19,basic,basic,neutral,310.369,2.973,3.04,35.16,1,1,yellow,green,yellow
40961,0.07,0.1,1.82,15.17,8.27,basic,basic,neutral,322.404,3.03,2.74,44.39,1,2,green,green,green
21938,0.49,0.9,3.09,15.7,8.24,basic,basic,neutral,403.517,3.78,3.99,46.5,1,2,yellow,yellow,yellow
335998,1.0,1.0,4.93,10.3,-4.93,neutral,neutral,neutral,544.903,4.859,4.28,115.56,2,5,yellow,red,red
1308364,0.23,0.52,5.39,9.56,0.87,neutral,neutral,neutral,428.874,4.955,5.39,88.49,2,4,red,yellow,red
1062284,0.15,0.35,1.52,8.68,3.95,neutral,neutral,neutral,454.924,2.515,1.54,87.03,2,4,green,yellow,green
349093,0.75,1.0,5.68,15.3,7.93,basic,basic,neutral,497.671,6.467,6.32,44.81,1,2,red,yellow,red
1313533,0.02,0.05,5.86,11.51,1.25,neutral,neutral,neutral,373.471,6.08,5.86,54.02,2,2,red,green,red
349203,0.0,0.06,0.41,11.99,2.43,neutral,neutral,neutral,220.228,0.478,0.41,101.03,2,4,green,green,green
79557,0.74,1.0,-2.25,,,neutral,neutral,neutral,303.195,-1.863,-2.25,29.54,0,2,green,green,green
1326800,0.75,0.96,2.32,13.75,4.23,neutral,neutral,neutral,399.877,3.125,2.32,107.62,4,4,green,green,yellow
1325729,0.05,0.19,4.14,11.42,2.41,neutral,neutral,neutral,423.391,4.978,4.14,92.93,3,3,yellow,yellow,red
501085,0.26,0.35,0.22,11.21,9.61,basic,basic,basic,644.782,4.772,1.59,116.91,3,4,green,red,green
1303674,0.01,0.12,-0.32,14.89,9.44,basic,basic,basic,435.497,1.998,1.68,114.25,3,5,green,yellow,green
