ID,SEL_100,SEL_5000,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
372228,0.01,0.02,4.39,,-3.36,neutral,neutral,neutral
27878,0.41,0.82,4.13,17.18,7.72,basic,basic,neutral
3784,0.04,0.42,4.75,9.21,-6.25,neutral,neutral,neutral
4991,0.04,0.38,3.42,8.13,-6.07,neutral,neutral,neutral
343725,0.52,0.98,-4.6,1.81,-5.64,acidic,acidic,acidic
1298972,0.0,0.36,2.77,8.4,0.43,neutral,neutral,neutral
212343,0.74,0.9,1.64,12.21,6.83,basic,neutral,neutral
72191,0.48,0.71,2.13,14.81,5.11,neutral,neutral,neutral
344371,0.06,0.29,0.82,,8.32,basic,basic,basic
1326769,0.05,0.59,3.1,12.31,2.32,neutral,neutral,neutral
202259,0.29,0.52,2.4,14.42,8.77,basic,basic,basic
9837,0.07,0.07,1.99,13.72,5.97,neutral,neutral,neutral
65349,0.0,0.39,3.79,,4.48,neutral,neutral,neutral
376627,0.0,0.01,0.8,7.99,-7.81,neutral,neutral,neutral
683964,0.13,0.15,5.02,12.38,1.72,neutral,neutral,neutral
1285598,0.05,0.33,4.29,13.11,2.7,neutral,neutral,neutral
1300348,0.02,0.23,3.82,11.84,6.38,basic,neutral,neutral
311415,0.14,0.36,-0.32,14.6,8.78,basic,basic,basic
382415,0.06,0.06,3.33,,-0.29,neutral,neutral,neutral
1327009,0.62,0.97,1.06,11.47,4.4,neutral,neutral,neutral
441579,0.67,1.0,2.11,12.57,-2.98,neutral,neutral,neutral
6005,0.54,0.91,-0.6,10.26,9.12,basic,basic,basic
1055226,0.02,0.02,-0.16,4.58,9.69,zwiterionic,zwiterionic,zwiterionic
350635,0.22,0.65,1.11,13.73,9.29,basic,basic,basic
1564,0.02,0.33,1.77,6.57,-5.38,acidic,acidic,neutral
27370,0.8,0.87,1.27,12.58,-2.85,neutral,neutral,neutral
1317102,0.12,0.42,5.07,9.55,0.87,neutral,neutral,neutral
1317104,0.18,0.67,-0.3,13.86,9.9,basic,basic,basic
1312195,0.02,0.15,2.68,15.53,3.62,neutral,neutral,neutral
152995,0.86,0.99,4.12,14.09,2.73,neutral,neutral,neutral
1292423,0.0,0.04,1.08,2.72,8.21,zwiterionic,zwiterionic,acidic
401787,0.62,0.72,1.19,8.6,2.35,neutral,neutral,neutral
1311545,0.06,0.3,1.12,15.2,8.74,basic,basic,basic
365408,0.05,0.23,3.16,13.19,6.5,basic,neutral,neutral
1309885,0.05,0.3,3.3,11.28,3.45,neutral,neutral,neutral
438203,0.1,0.37,3.27,11.47,2.98,neutral,neutral,neutral
86618,0.0,0.0,2.72,9.29,-3.66,neutral,neutral,neutral
