INDEX,SMILES,ID,STATE_50,VAL,logD
64,C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)SC1)C(=O)O,92665-29-7,zwitterionic,2.9,-2.18
65,CC(C)(C(=O)O)O/N=C(/c1csc(n1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[n+]4ccccc4)C(=O)[O-],72558-82-8,acidic,2.4,-6.92
66,CO/N=C(/c1csc(n1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)O,68401-81-0,acidic,2.1,-3.58
67,C1CNC[C@@H]1N2CC/C(=C\C3=C(N4[C@@H]([C@@H](C4=O)NC(=O)/C(=N\O)/c5nc(sn5)N)SC3)C(=O)O)/C2=O,209467-52-7,zwitterionic,1.5,-6.87
68,CC(C)(C(=O)O)O/N=C(/c1nc(sn1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)Cn4cc(c(=N)n4C)NC(=O)NCCN)C(=O)O,689293-68-3,zwitterionic,1.16,-6.92
69,Cn1c(nc(=O)c(n1)O)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O,73384-59-5,acidic,0.26,-5.5
70,CO/N=C(/c1ccco1)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,55268-75-2,acidic,2.2,-4.36
71,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)N)SC1)C(=O)O,15686-71-2,zwitterionic,3.9,-2.4
72,c1cc[n+](cc1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)Cc4cccs4)SC2)C(=O)[O-],50-59-9,acidic,3.3,-3.32
73,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)Cc3cccs3)SC1)C(=O)O,153-61-7,acidic,1.8,-3.32
74,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CSc3ccncc3)SC1)C(=O)O,21593-23-7,acidic,2.7,-4.13
75,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O,38821-53-3,zwitterionic,3.3,-2.64
76,CCCC[P@](=O)(CCCN)O,123690-78-8,zwitterionic,1.56,-1.34
77,c1ccc(cc1)C2(CC2C3=NCCN3)c4ccccc4,53267-01-9,basic,8.6,0.69
78,CCC#CC[C@H](C)[C@@H](C#C[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/COCC(=O)O)/C2)O)O,94079-80-8,acidic,3.8,-0.4
79,c1cn(c(=O)nc1N)C[C@@H](CO)OCP(=O)(O)O,113852-37-2,acidic,2.5,-4.7
80,CC1(C[C@@H]1C(=O)N/C(=C\CCCCSC[C@@H](C(=O)O)N)/C(=O)O)C,82009-34-5,zwitterionic,2.3,-4.06
81,c1ccc(cc1)CC[C@@H](C(=O)O)N[C@H]2CCC[N@]3CCC[C@H](N3C2=O)C(=O)O,90139-06-3,zwitterionic,2.1,-4.29
82,CC(C)[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](C(=O)N1C)Cc2ccccc2)CC(=O)O)CCCNC(=N)N,188968-51-6,zwitterionic,1.18,-3.68
83,Cc1c(nc[nH]1)CSCC/N=C(\NC)/NC#N,51481-61-9,neutral,8.1,-0.22
84,c1c2c(c(c(c1F)N3CCC(C3)N)Cl)n(cc(c2=O)C(=O)O)C4CC4,105956-97-6,zwitterionic,4.7,-0.42
85,C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,10596-23-3,acidic,1.6,-5.04
86,c1nc2c(nc(nc2n1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N,123318-82-1,neutral,7.7,-0.29
87,Cn1c2ccc(cc2nc1CNc3ccc(cc3)C(=N)N)C(=O)N(CCC(=O)O)c4ccccn4,211914-51-1,zwitterionic,1.93,0.08
88,c1cnccc1N,504-24-5,basic,9.3,-0.97
89,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@H](C)CC(=O)O)CC(=O)c4ccccc4N)C,103060-53-3,zwitterionic,0.16,-18.9
90,CC(=O)Nc1c(c(c(c(c1I)NC(=O)C)I)C(=O)O)I,117-96-4,acidic,1.7,-0.63
91,C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N)N)N,34493-98-6,basic,0.8,-13.18
92,Cc1c(c(no1)c2c(cccc2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,3116-76-5,acidic,2.0,-0.38
93,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,22494-42-4,acidic,0.1,0.41
94,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,20830-75-5,acidic,1.7,1.92
95,Cn1c2c(c(=O)n(c1=O)C)n(cn2)CC(CO)O,479-18-5,neutral,4.8,-1.87
96,CC(C)N(CCC(c1ccccc1)(c2ccccn2)C(=O)N)C(C)C,3737-09-5,basic,0.9,0.57
97,C[n+]1cccc(c1)OC(=O)N(C)CCCCCCN(C)C(=O)Oc2ccc[n+](c2)C,15876-67-2,neutral,0.2,-5.64
