INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
244,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2Oc3c4cc5cc3Oc6ccc(cc6Cl)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7c8ccc(c(c8)-c9c(cc(cc9O)O)[C@H](NC(=O)[C@H]([C@@H](c1ccc(c(c1)Cl)O4)O)NC7=O)C(=O)O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)CO)O)O)(C)N)O,1404-90-6,zwitterionic,1.3,-4.86,1449.254,0.58,-7.55,530.49,18,24,green,red,green
245,CCN(CC)CCNC(=O)c1cc(c(cc1OC)N)Cl,7736,basic,1.1,-0.25,299.796,2.168,1.4,67.59,2,2,green,green,green
246,CC(C)NCC(COc1cccc2c1cccc2)O,1370,basic,1.2,0.36,259.343,2.885,2.58,41.49,2,2,green,green,green
247,COc1cc(c(c(c1)OC)C(=O)CCCN2CCCC2)OC,316539,basic,1.3,0.57,307.385,2.39,1.88,48.0,0,4,green,green,green
248,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)O,44876,acidic,1.3,-4.94,199.161,-0.788,-1.52,87.07,1,5,green,green,green
249,CC(C)(C)NC[C@@H](COc1c(nsn1)N2CCOCC2)O,8531,basic,1.4,-0.97,316.42,1.723,1.34,79.74,2,5,green,green,green
250,CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)N=C(N)N,373806,zwitterionic,1.4,-5.83,332.31,-3.092,-6.06,200.72,6,8,green,green,green
251,CC(C)[C@@](CCCN(C)CCc1ccc(c(c1)OC)OC)(C#N)c2ccc(c(c2)OC)OC,447087,basic,1.5,2.79,454.602,4.689,5.04,63.95,0,5,red,yellow,yellow
252,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCc2ccccc2)C(=O)O,16759,zwitterionic,1.6,-4.01,348.394,0.668,-1.22,106.94,1,5,green,green,green
253,c1c-2c(=O)ncnc2[nH][nH]1,395607,neutral,1.7,-1.89,136.111,0.307,-1.76,74.43,2,3,green,green,green
