INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
61,c1ccc(cc1)C(CCN2CCCCC2)(C3CC4CC3C=C4)O,514-65-8,basic,12.0,1.64,311.461,4.458,3.54,23.47,1,1,yellow,green,green
62,c1ccc(cc1)C[C@@H]2CN(c3ccc(cc3CN2S(=O)(=O)c4cccs4)C#N)Cc5cnc[nH]5,195987-41-8,neutral,9.6,4.04,489.612,4.42,4.09,93.09,1,4,yellow,yellow,red
63,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,179324-69-7,neutral,19.0,1.51,384.237,1.561,1.53,124.44,4,6,green,green,green
64,c1ccnc(c1)C2=NCC(=O)Nc3c2cc(cc3)Br,1812-30-2,neutral,0.51,2.54,316.153,1.982,2.54,54.35,1,3,green,green,yellow
65,c1cc(c(c(c1)C(=O)c2ccc(cc2)Br)N)CC(=O)O,91714-94-2,acidic,1.3,0.4,334.165,2.468,3.66,80.39,1,3,yellow,green,green
66,CCN(CC)CCNC(=O)c1cc(c(cc1OC)N)Br,4093-35-0,basic,13.0,-0.09,344.247,2.286,1.56,67.59,2,2,green,green,green
67,Cc1nnc2n1-c3c(cc(s3)Br)C(=NC2)c4ccccc4Cl,57801-81-7,neutral,2.0,3.9,393.689,3.252,2.68,43.07,0,3,green,green,yellow
68,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,51333-22-3,neutral,20.0,2.73,430.534,1.988,2.73,93.06,2,6,green,yellow,yellow
69,COc1cc(c(c(c1)OC)C(=O)CCCN2CCCC2)OC,55837-25-7,basic,5.6,0.57,307.385,2.39,1.88,48.0,0,4,green,green,green
70,CCc1cccc2c1oc(c2)C(CNC(C)(C)C)O,54340-62-4,basic,8.9,1.16,261.359,3.025,2.99,45.4,2,2,green,green,green
71,CCCCN1CCCCC1C(=O)Nc2c(cccc2C)C,38396-39-3,basic,4.3,3.82,288.428,3.425,3.22,32.34,1,1,yellow,green,yellow
72,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3Cc6c5c(c(cc6)O)O4)CC7CC7)OC)(C(C)(C)C)O,52485-79-7,basic,19.0,1.61,467.64,3.747,3.54,62.16,2,4,yellow,yellow,green
73,CS(=O)(=O)OCCCCOS(=O)(=O)C,55-98-1,neutral,2.4,-0.76,246.302,0.173,-0.76,86.74,0,6,green,green,green
74,c1cc2c(cc1O)[C@@]34CCCC[C@]3([C@@H](C2)N(CC4)CC5CCC5)O,42408-82-2,basic,41.0,0.81,327.46,3.613,2.86,43.7,2,2,green,green,green
