INDEX,SMILES,ID,STATE_50,VAL,logD
71,CCCCN1CCCCC1C(=O)Nc2c(cccc2C)C,38396-39-3,basic,4.3,3.82
72,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3Cc6c5c(c(cc6)O)O4)CC7CC7)OC)(C(C)(C)C)O,52485-79-7,basic,19.0,1.61
73,CS(=O)(=O)OCCCCOS(=O)(=O)C,55-98-1,neutral,2.4,-0.76
74,c1cc2c(cc1O)[C@@]34CCCC[C@]3([C@@H](C2)N(CC4)CC5CCC5)O,42408-82-2,basic,41.0,0.81
75,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](c5ccccc5)NC(=O)OC(C)(C)C)O)O)OC(=O)c6ccccc6)(CO4)OC(=O)C)OC)C)OC,183133-96-2,neutral,11.0,4.2
76,Cn1cnc2c1c(=O)n(c(=O)n2C)C,58-08-2,neutral,1.4,-0.55
77,CC(C)C[C@@H](C(=O)[C@]1(CO1)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCc3ccccc3)NC(=O)CN4CCOCC4,868540-17-4,neutral,39.5,4.2
78,COc1ccccc1OCCNCC(COc2cccc3c2c4ccccc4[nH]3)O,72956-09-3,basic,7.8,2.07
79,CCN(CC)c1ccc2cc(oc2c1)C(=O)Nc3ccc4c(c3)cc([nH]4)C(=O)N5C[C@H](c6c5cc(c7c6c(c[nH]7)C)OC(=O)Nc8ccccc8)CCl,119813-10-4,neutral,2.9,7.43
80,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(c4ccc(cc4)O)O)O)C(CCN)O)O)NCCN)O,162808-62-0,basic,0.14,-7.54
81,CN(C)N=Nc1ccc(cc1)C(=O)O,7203-91-0,acidic,1.3,-1.17
82,CCO/N=C(/c1nc(sn1)NP(=O)(O)O)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)Sc4nc(cs4)c5cc[n+](cc5)C)C(=O)[O-],229016-73-3,acidic,83.6,-6.83
83,CC(C)c1c(c(c(c(n1)C(C)C)/C=C/[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)COC,145599-86-6,acidic,2.9,1.15
84,c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)N(=O)=O,56-75-7,neutral,2.4,0.66
85,Cc1c(scn1)CCCl,533-45-9,neutral,33.0,1.77
86,CC(C)C(=O)OCC(=O)[C@]12[C@@H](C[C@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@@H](O2)C6CCCCC6,126544-47-6,neutral,33.3,5.32
87,COc1c(cc(cc1)[C@]2(CC[C@@H](CC2)C(=O)O)C#N)OC3CCCC3,153259-65-5,acidic,0.5,0.38
88,C[C@H](c1cccc2c1cccc2)NCCCc3cccc(c3)C(F)(F)F,226256-56-0,basic,18.3,3.53
89,COc1cc(c(cc1C(=O)N[C@H]2CC[N@@](C[C@H]2OC)CCCOc3ccc(cc3)F)Cl)N,81098-60-4,basic,1.5,1.59
90,CN(C)CCCC1(c2ccc(cc2CO1)C#N)c3ccc(cc3)F,59729-33-8,basic,4.3,1.41
91,CC(=O)O[C@@H]1[C@@H](Sc2cc(ccc2N(C1=O)CCN(C)C)Cl)c3ccc(cc3)OC,96125-53-0,basic,13.7,2.5
92,CCCC(=O)OCOC(=O)C1=C(NC(=C(C1c2cccc(c2Cl)Cl)C(=O)OC)C)C,167221-71-8,neutral,142.0,4.09
93,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl,18323-44-9,basic,4.5,0.65
94,CN(C)CCCN1c2ccccc2CCc3c1cc(cc3)Cl,303-49-1,basic,8.2,3.09
95,CN1CCN(CC1)C2=Nc3cc(ccc3Nc4c2cccc4)Cl,5786-21-0,basic,2.5,2.89
96,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3ccccc3)C(=O)OC,50-36-2,basic,32.0,0.82
97,COc1ccc(cc1OP(=O)(O)O)/C=C\c2cc(c(c(c2)OC)OC)OC,222030-63-9,acidic,5.7,-0.51
