ID	apKa1	bpKa1	atoms
371501	12.89	1.10	19,14
371500	13.75	1.11	19,14
371289	13.00	1.10	14,19
371358	11.99	-0.79	13,13
371350	11.99	-0.79	12,12
371334	11.99	-0.79	11,11
371326	11.99	-0.79	11,11
371318	11.98	-0.79	13,13
371305	11.99	-0.79	10,10
371282	11.99	4.76	12,27
371270	11.99	-0.79	10,10
371269		3.61	2
371382		2.68	13
371381	10.95	-0.13	11,10
371380	9.26	1.00	21,9
371373	4.77	-3.94	8,7
371371	14.20	-2.94	9,11
371355		4.75	19
371340	10.59	0.97	10,17
371333	11.98	-0.39	10,16
371332	13.45	1.10	19,14
371325	8.03	5.13	16,2
371324		8.16	17
371323	7.16	-3.55	12,16
371317		-0.30	7
27112	14.09	9.63	7,4
243520	13.74	7.43	26,22
153209	14.08	5.83	1,22
152682	14.08	8.56	8,3
153501	14.08	8.55	8,4
238279	14.08	8.00	6,2
238255	14.07	6.63	13,15
153168	14.08	6.63	1,22
243963	14.08	8.01	1,25
153167	14.08	6.74	14,11
153604	14.08	6.70	15,12
244049	14.08	6.67	15,12
244190	14.08	6.47	15,12
244380	14.08	6.77	1,22
152683	14.07	8.02	13,15
243791	14.08	8.02	14,16
153601	14.08	9.13	7,4
153570	14.08	8.02	1,22
153502	14.08	8.56	8,3
243373	14.08	8.07	1,22
372333	14.08	6.74	14,11
244077	13.73	7.43	19,15
372328	14.07	8.12	13,15
243755	14.08	6.62	1,20
243754	13.74	7.43	24,20
372325	14.08	8.79	23,25
243922	14.08	8.01	1,33
244546	9.58	8.94	14,4
244247	14.09	9.85	1,4
244351	14.07	4.10	1,4
243941	14.09	9.42	1,4
243828	9.41	8.00	9,23
244419	14.08	8.01	1,30
243826	14.08	9.63	7,4
243609	14.08	6.59	21,23
244127	13.85	6.59	1,22
372302	14.09	9.52	21,23
372299	16.34	9.99	3,26
372298	16.34	9.99	3,25
372371	16.34	9.99	3,24
372370	16.34	9.12	3,23
372365	16.34	9.03	3,22
372364	16.33	7.92	3,20
372358	16.34	8.47	3,21
244553	14.08	9.42	1,4
372312	14.07	7.58	1,22
244547	14.09	9.37	1,4
244046	14.08	8.02	1,26
244124	14.08	9.83	21,23
244044	13.85	9.83	7,4
243397	14.08	9.13	7,4
