NAME VAL
1591231 977.24
1591232 501.19
1591233 660.69
1591234 1412.54
1591235 1445.44
1591236 870.96
1591237 33113.11
153501 416.0
153502 907.0
371431 6.0
372329 11190.0
372328 357.0
372327 292.0
243963 659.0
372325 460.0
372323 5482.705
372322 17.0
372321 259.0
372320 505.0
1591124 1047.13
1591125 81.28
1591126 114.82
1591127 524.81
1591120 1737.8
1591121 724.44
1591122 6456.54
1591123 338.84
1591043 1348.96
1591042 58884.37
1591041 1698243.65
1591040 75857.76
1591128 457.09
1591129 398.11
1591045 954.99
1591044 4677.35
238220 67000.0
372363 537.0
372362 48920.0
371380 102200.0
371381 158894.66
371382 311800.0
372360 8490.0
372366 2568.0
1591111 173.78
1591110 660.69
371317 3483.685
371316 760.0
371318 730.0
27112 330.065
1591119 173.78
1591118 109.65
244127 9540.0
244126 173.0
244125 226.0
244124 658.0
372345 1550.0
243803 6875.0
244516 1120.0
243397 915.0
243399 671.0
243398 2535.0
243663 128000.0
243664 10070.0
372344 1349.0
244517 424.0
1591168 165.96
372361 1619.0
238219 11520.0
372367 1649.0
1151932 281.84
372365 535.015
372364 1448.72
372369 227.0
372368 200.0
1591089 2454.71
1591088 208929.61
1591087 70.79
1591086 660.69
1591085 26.92
1591084 257.04
1591083 676.08
1591082 229.09
1591081 616.6
1591080 31622.78
1591241 17.78
1591169 389.05
1591243 2187.76
1591242 5370.32
1591245 575.44
1591244 7762.47
1591247 3548.13
1591246 173.78
1591160 208.93
1591161 144.54
1591162 16.98
1591163 9772.37
1591164 295.12
1591165 11220.18
1591166 213.8
1591167 141.25
1591249 478.63
1591248 204.17
371500 301.0
371501 110.0
371508 20000.0
371509 50000.0
372316 1099.74
372317 210.0
372314 137.0
372315 1053.065
372312 10400.0
372313 190.0
372310 74.0
372311 980.0
372318 145.0
372319 3475.0
213762 10964.78
371269 100000.0
371282 25130.0
371323 250000.0
371326 1210.0
89331 35481.34
371324 5940.0
371325 3080.0
243373 972.0
1591205 10000.0
1591204 870.96
1591207 79.43
1591206 186.21
1591201 3467.37
1591200 138.04
1591203 85.11
1591202 501.19
1591209 36.31
1591208 44.67
243755 147.0
243754 307.0
243757 299.0
372359 26.0
372358 648.325
238255 2088.15
372352 103600.0
372350 379.0
372351 6658.0
243976 49000.0
1591058 47863.01
1591059 47863.01
1591113 10471.29
1591112 794.33
1591115 758.58
1591114 724.44
1591117 1819.7
1591116 9549.93
1591050 3715.35
1591051 3981.07
1591052 15488.17
1591053 58884.37
1591054 9549.93
1591055 77624.71
1591056 28840.32
1591057 1230268.77
244560 11890.0
