COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,21716,A03AD01
CCOc1ccc(\C=C\2/NCCc3cc(OCC)c(OCC)cc23)cc1OCC,565387,A03AD02
CCc1cc2cc(OC)c(OC)cc2c(Cc3ccccc3)n1,1377330,A03AD30
Cc1[nH]cnc1CN2CCc3c(C2=O)c4ccccc4n3C,153342,A03AE01
CCCCCNC(=N)N\N=C\c1c[nH]c2ccc(OC)cc12,122247,A06AX06
Cc1nccn1C[C@H]2CCc3c(C2=O)c4cccc5CCCn3c45,1376048,A03AE03
COCCCN1CCC(CC1)NC(=O)c2cc(Cl)c(N)c3CCOc23,191172,A06AX05
C(CN1CCCCC1)C(c2ccccc2)c3ccccc3,79345,A03AX01
CC(C)N(CCC(c1ccccc1)c2ccccc2)C(C)C,1383289,A03AX02
Cc1ccccc1CN2CCN(CCOC(c3ccccc3)c4ccccc4Cl)CC2,1383221,A03AX03
COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,1249092,A03AX04
O=C(CN1CCN(Cc2ccc3OCOc3c2)CC1)N4c5ccccc5Sc6ccccc46,936833,A03AX05
CCC(c1ccccc1)c2noc(CCN(CC)CC)n2,1379267,A03AX07
CCN(CCCc1ccccc1)CCCc2ccccc2,418413,A03AX08
CCOc1cc(OCC)c(cc1OCC)C(=O)CCC(=O)O,1106611,A03AX09
CNC(C)CCC=C(C)C,1078590,A03AX10
CCN(CC)CCN1C(=O)C(=Nc2ccccc12)Cc3ccc(OC)cc3,1110534,A03AX11
CCN(CCCc1ccccc1)CCCc2ccccc2,418413,A03AX58
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,445395,A03BA01
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)[C@H](CO)c3ccccc3,755100,A03BA03
CCCC[N+]1(C)[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4,1041053,A03BB01
C[N+]1(C)[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,661674,A03BB02
C[N+]1(C)[C@H]2C[C@@H](C[C@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)c4ccccc4,675219,A03BB03
C[N+]1(CC(=O)c2ccc(cc2)c3ccccc3)[C@@H]4CC[C@H]1C[C@H](C4)OC(=O)C(CO)c5ccccc5,1383263,A03BB04
[Br-].C[N+]1(CC2CC2)[C@@H]3C[C@H](C[C@H]1[C@@H]4O[C@H]34)OC(=O)[C@H](CO)c5ccccc5,1378247,A03BB05
[Br-].C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(c3ccccc3)c4ccccc4,674901,A03CA02
C[N+]1(C)[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(O)c3ccccc3,675186,A03CB04
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,7736,A03FA01
O.COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC,674739,A03FA02
Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,364745,A03FA03
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,418421,A03FA04
COc1cc2[nH]nnc2cc1C(=O)NCC3CCCN3CC=C,57186,A03FA05
COc1cc(N)c(Cl)cc1C(=O)NC2CCN(Cc3ccccc3)CC2,182814,A03FA06
Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C,3183,A04AA01
CN1C2CCCC1CC(C2)NC(=O)c3nn(C)c4ccccc34,54547,A04AA02
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)c3c[nH]c4ccccc34,88800,A04AA03
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c4c[nH]c5ccccc45,699469,A04AA04
O=C1N(C[C@H]2CCCc3cccc1c23)[C@@H]4CN5CCC4CC5,663629,A04AA05
CN1[C@H]2CC(C[C@H]1[C@@H]3O[C@@H]23)OC(=O)[C@H](CO)c4ccccc4,675020,A04AD01
COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,419598,A02BC02
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c2nc3ccccc3[nH]2,5975,A02BC03
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,222203,A02BC04
COc1ccc2[nH]c(nc2c1)[S+]([O-])Cc3ncc(C)c(OC)c3C,675271,A02BC05
CC1(C)[C@H](CC[C@@]2(C)C1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5CC(C)(CC[C@]5(C)CC[C@@]34C)C(=O)O)OC(=O)CCC(=O)O,1383180,A02BX01
