NAME,STATE,pKa,pH,IONIZED
2484,acidic,5.8,5,13.6806888603
2484,acidic,5.8,6,61.3136820153
2484,acidic,5.8,7,94.0649056897
2484,acidic,5.8,8,99.3729987659
2484,acidic,5.8,9,99.9369440512
2484,acidic,5.8,10,99.9936908246
2525,acidic,4.3,2,0.498687873669
2525,acidic,4.3,3,4.77267210342
2525,acidic,4.3,4,33.3860575417
2525,acidic,4.3,5,83.3662469183
2525,acidic,4.3,6,98.0437696127
2525,acidic,4.3,7,99.8008710829
2525,acidic,4.3,8,99.9800513571
2525,acidic,4.3,9,99.9980047775
2525,acidic,4.3,10,99.9998004742
2654,acidic,2.8,2,13.6806888603
2654,acidic,2.8,3,61.3136820153
2654,acidic,2.8,4,94.0649056897
2654,acidic,2.8,5,99.3729987659
2654,acidic,2.8,6,99.9369440512
2654,acidic,2.8,7,99.9936908246
2654,acidic,2.8,8,99.9993690466
2654,acidic,2.8,9,99.9999369043
2654,acidic,2.8,10,99.9999936904
2994,acidic,4.42,2,0.378749431145
2994,acidic,4.42,3,3.6626441176
2994,acidic,4.42,4,27.5461757157
2994,acidic,4.42,5,79.1748837508
2994,acidic,4.42,6,97.4371420407
2994,acidic,4.42,7,99.7376632169
2994,acidic,4.42,8,99.9737042366
2994,acidic,4.42,9,99.9973698012
2994,acidic,4.42,10,99.9997369739
3859,basic,8.05,2,99.999910875
3859,basic,8.05,3,99.999108757
3859,basic,8.05,4,99.9910882849
3859,basic,8.05,5,99.9109542683
3859,basic,8.05,6,99.116622175
3859,basic,8.05,7,91.8168175245
3859,basic,8.05,8,52.8750563892
3859,basic,8.05,9,10.0882628357
3859,basic,8.05,10,1.10956888663
5582,acidic,4.32,2,0.476350137221
5582,acidic,4.32,3,4.56767810397
5582,acidic,4.32,4,32.3698330507
5582,acidic,4.32,5,82.7178016963
5582,acidic,4.32,6,97.9534621062
5582,acidic,4.32,7,99.7915059926
5582,acidic,4.32,8,99.9791114029
5582,acidic,4.32,9,99.9979107475
5582,acidic,4.32,10,99.9997910708
5638,basic,8.99,2,99.9999897671
5638,basic,8.99,3,99.9998976708
5638,basic,8.99,4,99.9989767175
5638,basic,8.99,5,99.9897681171
5638,basic,8.99,6,99.8977753066
5638,basic,8.99,7,98.9870722266
5638,basic,8.99,8,90.7169936153
5638,basic,8.99,9,49.4243791589
5638,basic,8.99,10,8.90239685347
5970,basic,8.93,2,99.999988251
5970,basic,8.93,3,99.9998825104
5970,basic,8.93,4,99.9988251162
5970,basic,8.93,5,99.9882524047
5970,basic,8.93,6,99.8826481209
5970,basic,8.93,7,98.83874599
5970,basic,8.93,8,89.4862789644
5970,basic,8.93,9,45.9791771676
5970,basic,8.93,10,7.8437674943
6216,basic,9.2,2,99.9999936904
6216,basic,9.2,3,99.9999369043
6216,basic,9.2,4,99.9993690466
6216,basic,9.2,5,99.9936908246
6216,basic,9.2,6,99.9369440512
6216,basic,9.2,7,99.3729987659
6216,basic,9.2,8,94.0649056897
6216,basic,9.2,9,61.3136820153
6216,basic,9.2,10,13.6806888603
6480,acidic,1.76,2,63.4743335052
6480,acidic,1.76,3,94.5587139566
6480,acidic,1.76,4,99.4278524283
6480,acidic,1.76,5,99.9424891003
6480,acidic,1.76,6,99.9942459317
6480,acidic,1.76,7,99.9994245634
6480,acidic,1.76,8,99.999942456
6480,acidic,1.76,9,99.9999942456
6480,acidic,1.76,10,99.9999994246
6723,basic,7.75,2,99.9998221724
6723,basic,7.75,3,99.9982217522
6723,basic,7.75,4,99.9822203676
6723,basic,7.75,5,99.8224877254
6723,basic,7.75,6,98.2527908505
6723,basic,7.75,7,84.9020442789
6723,basic,7.75,8,35.9935000197
6723,basic,7.75,9,5.3240215202
6723,basic,7.75,10,0.559196730883
7494,acidic,4.66,2,0.218298577145
7494,acidic,4.66,3,2.14092332505
7494,acidic,4.66,4,17.9504792714
7494,acidic,4.66,5,68.6300257683
7494,acidic,4.66,6,95.6289152264
7494,acidic,4.66,7,99.5449916
7494,acidic,4.66,8,99.9543120645
7494,acidic,4.66,9,99.995429327
7494,acidic,4.66,10,99.9995429139
7714,basic,8.76,2,99.999982622
7714,basic,8.76,3,99.9998262202
7714,basic,8.76,4,99.9982622294
7714,basic,8.76,5,99.9826250111
7714,basic,8.76,6,99.8265213884
7714,basic,8.76,7,98.2918828453
7714,basic,8.76,8,85.1948345853
7714,basic,8.76,9,36.5256664948
7714,basic,8.76,10,5.44128604339
8130,acidic,4.35,2,0.444697202712
8130,acidic,4.35,3,4.27584111465
8130,acidic,4.35,4,30.8763847585
8130,acidic,4.35,5,81.70788342
8130,acidic,4.35,6,97.8103001352
8130,acidic,4.35,7,99.7766279539
8130,acidic,4.35,8,99.9776177994
8130,acidic,4.35,9,99.997761329
8130,acidic,4.35,10,99.9997761284
8167,acidic,5.15,2,0.0707444951713
8167,acidic,5.15,3,0.702969143964
8167,acidic,5.15,4,6.61140613372
8167,acidic,5.15,5,41.4501321328
8167,acidic,5.15,6,87.6229318931
8167,acidic,5.15,7,98.6071371659
8167,acidic,5.15,8,99.8589454903
8167,acidic,5.15,9,99.9858766195
8167,acidic,5.15,10,99.9985874824
8193,acidic,7.34,2,0.000457086100328
8193,acidic,7.34,3,0.00457067297609
8193,acidic,7.34,4,0.0456879355457
8193,acidic,7.34,5,0.455008399957
8193,acidic,7.34,6,4.37108477357
8193,acidic,7.34,7,31.3699742317
8193,acidic,7.34,8,82.0495207286
8193,acidic,7.34,9,97.859076675
8193,acidic,7.34,10,99.7817014229
8516,acidic,4.33,2,0.465557564953
8516,acidic,4.33,3,4.46835093718
8516,acidic,4.33,4,31.8678164834
8516,acidic,4.33,5,82.3861528506
8516,acidic,4.33,6,97.9067899479
8516,acidic,4.33,7,99.7866599041
8516,acidic,4.33,8,99.978624949
8516,acidic,4.33,9,99.9978620836
8516,acidic,4.33,10,99.9997862042
8531,basic,9.76,2,99.9999982622
8531,basic,9.76,3,99.999982622
8531,basic,9.76,4,99.9998262202
8531,basic,9.76,5,99.9982622294
8531,basic,9.76,6,99.9826250111
8531,basic,9.76,7,99.8265213884
8531,basic,9.76,8,98.2918828453
8531,basic,9.76,9,85.1948345853
8531,basic,9.76,10,36.5256664948
8543,basic,9.67,2,99.999997862
8543,basic,9.67,3,99.9999786204
8543,basic,9.67,4,99.9997862042
8543,basic,9.67,5,99.9978620836
8543,basic,9.67,6,99.978624949
8543,basic,9.67,7,99.7866599041
8543,basic,9.67,8,97.9067899479
8543,basic,9.67,9,82.3861528506
8543,basic,9.67,10,31.8678164834
8838,basic,10.01,2,99.9999990228
8838,basic,10.01,3,99.9999902276
8838,basic,10.01,4,99.9999022764
8838,basic,10.01,5,99.9990227723
8838,basic,10.01,6,99.9902285827
8838,basic,10.01,7,99.9023716839
8838,basic,10.01,8,99.0322202827
8838,basic,10.01,9,91.0976031465
8838,basic,10.01,10,50.5756208411
11002,acidic,4.46,2,0.345538740307
11002,acidic,4.46,3,3.35117105484
11002,acidic,4.46,4,25.7464441057
11002,acidic,4.46,5,77.6154575342
11002,acidic,4.46,6,97.1968132848
11002,acidic,4.46,7,99.7124262215
11002,acidic,4.46,8,99.9711680002
11002,acidic,4.46,9,99.9971160517
11002,acidic,4.46,10,99.9997115977
11674,acidic,4.85,2,0.141054509672
11674,acidic,4.85,3,1.39286283415
11674,acidic,4.85,4,12.3770681069
11674,acidic,4.85,5,58.5498678672
11674,acidic,4.85,6,93.3885938663
11674,acidic,4.85,7,99.297030856
11674,acidic,4.85,8,99.9292555048
11674,acidic,4.85,9,99.9929210433
11674,acidic,4.85,10,99.9992920592
11968,acidic,2.27,2,34.9395372066
11968,acidic,2.27,3,84.3021964414
11968,acidic,2.27,4,98.171952697
11968,acidic,2.27,5,99.8141373787
11968,acidic,2.27,6,99.9813825954
11968,acidic,2.27,7,99.9981379475
11968,acidic,2.27,8,99.9998137916
11968,acidic,2.27,9,99.9999813791
11968,acidic,2.27,10,99.9999981379
12417,acidic,7.03,2,0.000933245591242
12417,acidic,7.03,3,0.00933167212566
12417,acidic,7.03,4,0.093238414928
12417,acidic,7.03,5,0.924625196385
12417,acidic,7.03,6,8.53592420995
12417,acidic,7.03,7,48.2737475568
12417,acidic,7.03,8,90.3218404295
12417,acidic,7.03,9,98.9398405084
12417,acidic,7.03,10,99.8929627619
12428,basic,9.57,2,99.9999973085
12428,basic,9.57,3,99.9999730847
12428,basic,9.57,4,99.9997308472
12428,basic,9.57,5,99.9973085376
12428,basic,9.57,6,99.9730918944
12428,basic,9.57,7,99.731569011
12428,basic,9.57,8,97.3790100527
12428,basic,9.57,9,78.7926768077
12428,basic,9.57,10,27.0890037102
12506,basic,8.38,2,99.9999583131
12506,basic,8.38,3,99.9995831324
12506,basic,8.38,4,99.9958314799
12506,basic,8.38,5,99.9583304324
12506,basic,8.38,6,99.5848612031
12506,basic,8.38,7,95.9981317983
12506,basic,8.38,8,70.5781359712
12506,basic,8.38,9,19.3472477183
12506,basic,8.38,10,2.34263697216
13342,acidic,4.54,2,0.287573778476
13342,acidic,4.54,3,2.80318671517
13342,acidic,4.54,4,22.3845424658
13342,acidic,4.54,5,74.2535558943
13342,acidic,4.54,6,96.6488289452
13342,acidic,4.54,7,99.6544612597
13342,acidic,4.54,8,99.9653383334
13342,acidic,4.54,9,99.9965327517
13342,acidic,4.54,10,99.9996532644
13590,acidic,0.91,2,92.482722124
13590,acidic,0.91,3,99.1937231481
13590,acidic,0.91,4,99.9187829641
13590,acidic,0.91,5,99.9918723555
13590,acidic,0.91,6,99.9991871761
13590,acidic,0.91,7,99.999918717
13590,acidic,0.91,8,99.9999918717
13590,acidic,0.91,9,99.9999991872
13590,acidic,0.91,10,99.9999999187
13928,acidic,5.0,2,0.0999000999001
13928,acidic,5.0,3,0.990099009901
13928,acidic,5.0,4,9.09090909091
13928,acidic,5.0,5,50.0
13928,acidic,5.0,6,90.9090909091
13928,acidic,5.0,7,99.0099009901
13928,acidic,5.0,8,99.9000999001
13928,acidic,5.0,9,99.9900009999
13928,acidic,5.0,10,99.99900001
13949,basic,7.91,2,99.9998769733
13949,basic,7.91,3,99.9987697464
13949,basic,7.91,4,99.9876988257
13949,basic,7.91,5,99.8771242931
13949,basic,7.91,6,98.784682896
13949,basic,7.91,7,89.0450638723
13949,basic,7.91,8,44.8376452689
13949,basic,7.91,9,7.51727787603
13949,basic,7.91,10,0.806276851867
14125,acidic,4.3,2,0.498687873669
14125,acidic,4.3,3,4.77267210342
14125,acidic,4.3,4,33.3860575417
14125,acidic,4.3,5,83.3662469183
14125,acidic,4.3,6,98.0437696127
14125,acidic,4.3,7,99.8008710829
14125,acidic,4.3,8,99.9800513571
14125,acidic,4.3,9,99.9980047775
14125,acidic,4.3,10,99.9998004742
15217,acidic,5.14,2,0.0723911532529
15217,acidic,5.14,3,0.71922563097
15217,acidic,5.14,4,6.75500289966
15217,acidic,5.14,5,42.0100239642
15217,acidic,5.14,6,87.8704951212
15217,acidic,5.14,7,98.6384108971
15217,acidic,5.14,8,99.8621518569
15217,acidic,5.14,9,99.9861980626
15217,acidic,5.14,10,99.9986196348
16308,acidic,4.42,2,0.378749431145
16308,acidic,4.42,3,3.6626441176
16308,acidic,4.42,4,27.5461757157
16308,acidic,4.42,5,79.1748837508
16308,acidic,4.42,6,97.4371420407
16308,acidic,4.42,7,99.7376632169
16308,acidic,4.42,8,99.9737042366
16308,acidic,4.42,9,99.9973698012
16308,acidic,4.42,10,99.9997369739
16505,basic,8.21,2,99.9999383405
16505,basic,8.21,3,99.9993834088
16505,basic,8.21,4,99.9938344301
16505,basic,8.21,5,99.9383784953
16505,basic,8.21,6,99.3871835935
16505,basic,8.21,7,94.1921585805
16505,basic,8.21,8,61.8584122089
16505,basic,8.21,9,13.9548838242
16505,basic,8.21,10,1.59592718906
16510,acidic,4.09,2,0.806276851867
16510,acidic,4.09,3,7.51727787603
16510,acidic,4.09,4,44.8376452689
16510,acidic,4.09,5,89.0450638723
16510,acidic,4.09,6,98.784682896
16510,acidic,4.09,7,99.8771242931
16510,acidic,4.09,8,99.9876988257
16510,acidic,4.09,9,99.9987697464
16510,acidic,4.09,10,99.9998769733
16584,basic,9.2,2,99.9999936904
16584,basic,9.2,3,99.9999369043
16584,basic,9.2,4,99.9993690466
16584,basic,9.2,5,99.9936908246
16584,basic,9.2,6,99.9369440512
16584,basic,9.2,7,99.3729987659
16584,basic,9.2,8,94.0649056897
16584,basic,9.2,9,61.3136820153
16584,basic,9.2,10,13.6806888603
16591,acidic,3.88,2,1.30110483638
16591,acidic,3.88,3,11.6471711944
16591,acidic,3.88,4,56.8641391884
16591,acidic,3.88,5,92.9490904375
16591,acidic,3.88,6,99.2471335014
16591,acidic,3.88,7,99.9241997429
16591,acidic,3.88,8,99.9924147996
16591,acidic,3.88,9,99.9992414282
16591,acidic,3.88,10,99.9999241423
16592,acidic,5.62,2,0.0239825761709
16592,acidic,5.62,3,0.239309229045
16592,acidic,5.62,4,2.34263697216
16592,acidic,5.62,5,19.3472477183
16592,acidic,5.62,6,70.5781359712
16592,acidic,5.62,7,95.9981317983
16592,acidic,5.62,8,99.5848612031
16592,acidic,5.62,9,99.9583304324
16592,acidic,5.62,10,99.9958314799
16656,acidic,2.79,2,13.9548838242
16656,acidic,2.79,3,61.8584122089
16656,acidic,2.79,4,94.1921585805
16656,acidic,2.79,5,99.3871835935
16656,acidic,2.79,6,99.9383784953
16656,acidic,2.79,7,99.9938344301
16656,acidic,2.79,8,99.9993834088
16656,acidic,2.79,9,99.9999383405
16656,acidic,2.79,10,99.9999938341
17169,basic,8.47,2,99.9999661156
17169,basic,8.47,3,99.999661157
17169,basic,8.47,4,99.9966116733
17169,basic,8.47,5,99.966127062
17169,basic,8.47,6,99.6623001202
17169,basic,8.47,7,96.7226108545
17169,basic,8.47,8,74.6912921429
17169,basic,8.47,9,22.7871326531
17169,basic,8.47,10,2.86660958024
19915,basic,8.77,2,99.9999830176
19915,basic,8.77,3,99.9998301759
19915,basic,8.77,4,99.9983017852
19915,basic,8.77,5,99.983020447
19915,basic,8.77,6,99.830463549
19915,basic,8.77,7,98.3301150625
19915,basic,8.77,8,85.4829177532
19915,basic,8.77,9,37.0611452782
19915,basic,8.77,10,5.56098167582
20346,basic,10.54,2,99.9999997116
20346,basic,10.54,3,99.999997116
20346,basic,10.54,4,99.9999711597
20346,basic,10.54,5,99.9997115977
20346,basic,10.54,6,99.9971160517
20346,basic,10.54,7,99.9711680002
20346,basic,10.54,8,99.7124262215
20346,basic,10.54,9,97.1968132848
20346,basic,10.54,10,77.6154575342
20496,acidic,1.99,2,50.5756208411
20496,acidic,1.99,3,91.0976031465
20496,acidic,1.99,4,99.0322202827
20496,acidic,1.99,5,99.9023716839
20496,acidic,1.99,6,99.9902285827
20496,acidic,1.99,7,99.9990227723
20496,acidic,1.99,8,99.9999022764
20496,acidic,1.99,9,99.9999902276
20496,acidic,1.99,10,99.9999990228
20881,acidic,3.82,2,1.49099413893
20881,acidic,3.82,3,13.1459000024
20881,acidic,3.82,4,60.2158093175
20881,acidic,3.82,5,93.8025284075
20881,acidic,3.82,6,99.3436430593
20881,acidic,3.82,7,99.933974278
20881,acidic,3.82,8,99.993393502
20881,acidic,3.82,9,99.9993393109
20881,acidic,3.82,10,99.9999339307
21459,basic,8.88,2,99.9999868174
21459,basic,8.88,3,99.9998681745
21459,basic,8.88,4,99.9986817606
21459,basic,8.88,5,99.9868191702
21459,basic,8.88,6,99.8683478774
21459,basic,8.88,7,98.6988951636
21459,basic,8.88,8,88.3528288056
21459,basic,8.88,9,43.1358608116
21459,basic,8.88,10,7.05090956252
21523,acidic,4.29,2,0.510244536798
21523,acidic,4.29,3,4.87841858899
21523,acidic,4.29,4,33.9000908754
21523,acidic,4.29,5,83.6830966003
21523,acidic,4.29,6,98.0874472076
21523,acidic,4.29,7,99.8053949896
21523,acidic,4.29,8,99.9805053552
21523,acidic,4.29,9,99.9980501934
21523,acidic,4.29,10,99.9998050159
21845,basic,9.04,2,99.9999908799
21845,basic,9.04,3,99.999908799
21845,basic,9.04,4,99.9990879975
21845,basic,9.04,5,99.9908807233
21845,basic,9.04,6,99.9088820167
21845,basic,9.04,7,99.0962316262
21845,basic,9.04,8,91.642137707
21845,basic,9.04,9,52.3009587298
21845,basic,9.04,10,9.88131708783
23199,basic,10.01,2,99.9999990228
23199,basic,10.01,3,99.9999902276
23199,basic,10.01,4,99.9999022764
23199,basic,10.01,5,99.9990227723
23199,basic,10.01,6,99.9902285827
23199,basic,10.01,7,99.9023716839
23199,basic,10.01,8,99.0322202827
23199,basic,10.01,9,91.0976031465
23199,basic,10.01,10,50.5756208411
24418,basic,8.47,2,99.9999661156
24418,basic,8.47,3,99.999661157
24418,basic,8.47,4,99.9966116733
24418,basic,8.47,5,99.966127062
24418,basic,8.47,6,99.6623001202
24418,basic,8.47,7,96.7226108545
24418,basic,8.47,8,74.6912921429
24418,basic,8.47,9,22.7871326531
24418,basic,8.47,10,2.86660958024
24806,acidic,3.39,2,3.91434027517
24806,acidic,3.39,3,28.945998763
24806,acidic,3.39,4,80.2909170154
24806,acidic,3.39,5,97.6041033724
24806,acidic,3.39,6,99.7551301925
24806,acidic,3.39,7,99.975458935
24806,acidic,3.39,8,99.9975453513
24806,acidic,3.39,9,99.9997545297
24806,acidic,3.39,10,99.9999754529
26431,acidic,4.73,2,0.18586262127
26431,acidic,4.73,3,1.82804730298
26431,acidic,4.73,4,15.6978035586
26431,acidic,4.73,5,65.0604627934
26431,acidic,4.73,6,94.9033863924
26431,acidic,4.73,7,99.4658368297
26431,acidic,4.73,8,99.9463256452
26431,acidic,4.73,9,99.9946299704
26431,acidic,4.73,10,99.9994629711
27111,basic,9.54,2,99.999997116
27111,basic,9.54,3,99.9999711597
27111,basic,9.54,4,99.9997115977
27111,basic,9.54,5,99.9971160517
27111,basic,9.54,6,99.9711680002
27111,basic,9.54,7,99.7124262215
27111,basic,9.54,8,97.1968132848
27111,basic,9.54,9,77.6154575342
27111,basic,9.54,10,25.7464441057
27251,basic,8.89,2,99.9999871175
27251,basic,8.89,3,99.9998711752
27251,basic,8.89,4,99.998711767
27251,basic,8.89,5,99.9871191639
27251,basic,8.89,6,99.87134079
27251,basic,8.89,7,98.7281352404
27251,basic,8.89,8,88.5876942586
27251,basic,8.89,9,43.7015271896
27251,basic,8.89,10,7.20331585038
27570,basic,9.76,2,99.9999982622
27570,basic,9.76,3,99.999982622
27570,basic,9.76,4,99.9998262202
27570,basic,9.76,5,99.9982622294
27570,basic,9.76,6,99.9826250111
27570,basic,9.76,7,99.8265213884
27570,basic,9.76,8,98.2918828453
27570,basic,9.76,9,85.1948345853
27570,basic,9.76,10,36.5256664948
27609,basic,9.34,2,99.9999954291
27609,basic,9.34,3,99.9999542912
27609,basic,9.34,4,99.9995429139
27609,basic,9.34,5,99.995429327
27609,basic,9.34,6,99.9543120645
27609,basic,9.34,7,99.5449916
27609,basic,9.34,8,95.6289152264
27609,basic,9.34,9,68.6300257683
27609,basic,9.34,10,17.9504792714
28939,basic,8.96,2,99.9999890352
28939,basic,8.96,3,99.9998903523
28939,basic,8.96,4,99.9989035338
28939,basic,8.96,5,99.9890364202
28939,basic,8.96,6,99.8904722751
28939,basic,8.96,7,98.9154140523
28939,basic,8.96,8,90.1186829122
28939,basic,8.96,9,47.6990412702
28939,basic,8.96,10,8.35786229305
28976,basic,8.91,2,99.9999876973
28976,basic,8.91,3,99.9998769733
28976,basic,8.91,4,99.9987697464
28976,basic,8.91,5,99.9876988257
28976,basic,8.91,6,99.8771242931
28976,basic,8.91,7,98.784682896
28976,basic,8.91,8,89.0450638723
28976,basic,8.91,9,44.8376452689
28976,basic,8.91,10,7.51727787603
29989,acidic,3.89,2,1.27186475963
29989,acidic,3.89,3,11.4123057414
29989,acidic,3.89,4,56.2984728104
29989,acidic,3.89,5,92.7966841496
