ID	apKa1	bpKa1	atoms
62701	5.62	6.53	17,25
63100	11.59	1.56	15,1
63252	14.39	-1.25	28,10
63445	14.47	9.89	13,4
63649	11.61	2.31	17,1
64200	7.68	-3.76	1,9
65351	5.75	8.79	30,10
65415	1.29	9.51	20,1
65494	14.67	0.47	16,3
65728	11.50	-6.17	6,5
65798	4.40	-1.86	1,16
66016	11.18	-8.14	4,6
67010	10.06	0.42	22,4
68396	3.57	-4.07	23,13
68607	9.33	-3.69	11,40
68817	2.85	1.76	17,12
69277	12.09	9.42	7,33
70239	11.79	-1.98	4,5
72036		6.75	25
72430	3.79	-3.63	18,9
73547	4.56	10.22	13,1
73548	9.54	-1.64	24,3
74284	16.70	5.05	16,14
74911	14.29	-3.11	17,17
76963	9.86	10.70	11,19
77474	3.53		19
77652	2.69	-6.31	1,10
78303	9.73	7.97	18,3
78902		9.09	14
80209		9.76	2
82047	2.27	-4.16	29,20
82983	7.68	-2.98	18,1
83000	11.75	-7.84	4,3
83044	1.46	-9.66	3,11
83515	18.59	5.13	21,22
83838	0.66	6.67	11,7
84251	9.46	-3.48	91,86
84482	2.00	9.19	14,1
84624	3.49	2.64	26,3
84644	6.24	-1.88	19,15
85233	9.39	6.82	24,9
85305	2.15	9.31	11,1
85649			
86042	14.97	3.54	1,29
86284		4.87	16
86784		6.90	11
88100	13.68	2.84	38,16
88232	16.11	6.85	10,26
88316	4.63	9.91	7,1
88739	12.47	-2.00	6,8
88841		4.08	27
89357		8.96	4
91369		-7.03	5
91783	9.93	-1.42	22,9
92412	5.94	-1.07	15,7
92458	9.06	-2.54	11,9
93117	4.01	-7.82	5,13
93617	5.80	-0.43	12,28
93895	11.33	-0.45	9,4
94408	4.43	-1.63	28,9
94571			
95909	10.68	-1.40	6,7
95969		3.06	14
95970	18.88	2.33	5,10
95978	8.48		15
96021		8.67	11
96107	8.21	-7.81	3,19
96595	-1.16		2
98346		4.26	3
99024	19.38	-0.60	23,1
99389	15.17		10
100157	13.62	-2.97	12,14
100310	3.10	-4.93	22,4
101810		-6.75	11
101924	18.59	-4.12	44,50
102073	15.73	-2.37	1,3
104574	16.44	-2.17	5,5
105252	13.35	-3.33	28,37
107119	9.95	-2.96	16,11
109797	7.40	4.12	30,7
110803		4.33	24
111390	4.07	-6.72	5,4
111491	3.32	-2.57	17,2
112090	11.82	-2.56	10,10
112480	2.06	11.01	11,5
112655	1.65	9.06	15,1
112665	3.18	4.15	22,4
113138	12.49	4.13	13,22
116349	4.23	1.72	42,5
116949	3.65	6.13	29,5
117108	9.10	-5.96	11,11
119162	15.82	1.83	1,19
119498	4.07		18
119640	13.24	0.12	4,11
119717		-9.65	6
121124	8.12	10.40	22,15
122901	12.90	8.49	9,5
123693	4.00	-2.08	2,12
125294	18.38	-1.32	23,23
126356		2.39	1
127755	4.73	10.21	9,1
127845		-4.86	36
134100	8.32	-4.06	11,9
134333	8.58	-2.59	14,16
136161	4.80	10.23	12,8
136282	1.80		6
138562	14.91	-2.84	31,31
139014	12.92	-4.30	11,3
139045	4.00	-0.56	22,6
139210	19.59	-4.83	13,2
139225	4.95	-0.59	1,16
139281	4.69	2.70	25,5
139286	4.32	0.06	22,7
141484	4.61	9.91	7,1
143284	3.23	7.43	29,14
149095	12.45	4.99	23,3
150313	12.61	-2.85	9,30
150389	13.84	9.32	2,6
150451	14.98		1
150452	7.77	-7.09	9,9
150549	4.30	0.87	22,10
150882	13.62	8.00	13,5
150941		-3.47	3
150989			
151300	11.69	-6.69	8,7
151310		-2.41	8
152751	12.72	6.75	22,13
153330	6.90	2.43	11,1
154051	3.59	2.48	17,8
155006	13.51	7.46	24,10
155045		8.83	18
158276	8.89	7.95	2,28
161281	10.11	8.87	10,2
167260	3.53	-2.76	27,12
167875	8.59	-6.09	12,12
169321	7.60	-2.98	17,1
169652	5.01	-4.82	18,2
170395	11.53	8.77	15,4
171062			
171587	4.77	8.38	12,31
175106	9.48	-3.04	24,1
175447	13.39	3.63	1,8
178495	9.72	-4.29	11,11
178545	3.09		1
180329	5.92	4.20	7,13
181939	4.20	-3.57	12,8
182546	12.61	-2.85	9,30
187372	8.64	-0.70	29,24
187696	13.84	-3.10	23,32
187962	17.59	-1.66	24,24
188457	2.96	-2.12	30,13
188815	3.07	10.91	12,20
189203	3.75	5.20	35,16
190484	3.68	2.19	8,1
190629	19.09	-4.81	15,19
191342		9.73	10
193096	9.58	-0.52	5,3
193281	18.24	7.41	17,8
195974		-7.01	4
196215	13.00	9.55	20,2
199357	1.80		1
202450	16.37	7.62	19,14
204115	6.71	1.95	6,14
208749	13.51	8.82	9,4
209829		8.56	25
210388	5.76	8.68	2,17
213505	9.32	8.18	4,26
214701	4.93	-3.10	8,4
221962	15.82	-1.36	5,4
222633		2.58	11
224581	18.38	-0.98	23,10
226400	3.53	-2.76	27,12
226880	3.68	8.63	25,11
227437	13.84	-2.12	10,16
227917	6.83	-0.73	11,9
229058	11.53	8.77	14,3
229172	3.37	9.03	20,25
230249	15.06		10
230444	7.92	10.23	33,39
230691	4.15		1
230966		-6.90	1
230999	18.10	-3.71	12,19
233590	4.32	2.09	11,1
235211		-1.99	16
238127		-4.72	4
238429		-4.98	4
240769	3.05	-4.19	13,6
244450	3.99	-4.83	31,2
248669	3.68	4.82	34,23
