Unnamed: 0,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
18,6968,28.5,%,basic,4.97,,8.76,basic,basic,basic,371.515,6.755,6.35,12.47,0,1,red,green,red
19,153330,0.7,%,acidic,1.32,6.9,2.43,acidic,acidic,neutral,314.362,1.853,1.81,89.49,2,3,green,green,green
20,5528,6.6,%,basic,-2.12,10.07,9.43,basic,basic,basic,272.364,1.036,-0.41,78.43,3,3,green,green,green
21,410802,30.8,%,neutral,1.33,8.98,5.99,neutral,neutral,neutral,474.576,1.933,1.35,113.42,1,6,green,yellow,green
22,11164,2.9,%,neutral,-0.94,,-4.47,neutral,neutral,neutral,332.329,2.874,-0.94,40.8,0,4,green,green,green
23,341382,-14.9,%,neutral,2.63,13.6,7.17,basic,neutral,neutral,427.537,2.257,1.53,74.27,2,4,green,yellow,yellow
24,27150,37.2,%,basic,0.86,13.89,9.05,basic,basic,basic,324.417,3.043,2.51,45.59,1,3,green,green,green
25,1370,12.8,%,basic,0.36,14.09,9.67,basic,basic,basic,259.343,2.885,2.58,41.49,2,2,green,green,green
26,27341,3.4,%,basic,-0.7,15.75,9.04,basic,basic,basic,235.325,1.408,0.95,58.36,2,1,green,green,green
27,77474,22.0,%,acidic,-0.92,3.53,,acidic,acidic,acidic,285.359,2.703,2.44,74.68,0,4,green,green,green
28,27370,9.6,%,neutral,1.27,12.58,-2.85,neutral,neutral,neutral,360.444,0.669,1.27,94.83,3,5,green,green,green
29,97,36.1,%,neutral,1.43,,7.24,basic,neutral,neutral,383.401,1.494,1.65,106.95,1,6,green,green,green
30,19737,5.6,%,acidic,2.74,5.96,5.36,acidic,acidic,acidic,356.439,3.68,2.9,68.29,1,4,green,green,yellow
31,8543,24.5,%,basic,-0.53,14.09,9.67,basic,basic,basic,248.321,1.902,1.69,57.28,3,2,green,green,green
32,270645,-16.8,%,basic,0.24,14.44,10.46,basic,basic,basic,272.385,2.263,1.86,32.34,1,1,green,green,green
33,921,20.2,%,neutral,2.14,9.47,-9.05,neutral,neutral,neutral,252.268,1.813,2.15,58.2,2,2,green,green,yellow
34,251346,12.3,%,neutral,3.08,,-3.14,neutral,neutral,neutral,163.239,3.191,3.08,12.36,0,1,yellow,green,yellow
35,12417,17.0,%,acidic,2.26,7.03,-1.0,acidic,acidic,neutral,308.374,3.333,4.14,40.62,0,2,yellow,green,yellow
36,2217,7.3,%,neutral,1.33,8.14,,neutral,neutral,neutral,232.235,1.143,1.41,75.27,2,3,green,green,green
37,282509,-2.3,%,basic,-3.73,,11.97,basic,basic,basic,205.26,0.468,0.83,97.78,5,0,green,green,green
38,16498,-0.9,%,neutral,1.41,14.98,-4.24,neutral,neutral,neutral,179.216,1.904,1.41,38.33,1,2,green,green,green
39,465305,36.2,%,neutral,-5.2,10.01,-3.14,neutral,neutral,neutral,774.841,-1.69,-5.2,291.62,11,11,green,red,green
40,1615,40.9,%,acidic,-2.29,3.53,-2.76,acidic,acidic,acidic,334.39,2.291,1.08,86.71,1,4,green,green,green
41,6643,12.7,%,basic,0.83,,9.77,basic,basic,basic,329.365,3.006,3.15,39.72,1,3,yellow,green,green
42,419598,23.4,%,neutral,2.17,9.15,3.55,neutral,neutral,neutral,383.37,3.254,2.18,92.32,1,6,green,green,yellow
43,4011,23.7,%,acidic,-3.6,2.7,4.24,acidic,acidic,acidic,194.187,-0.484,-1.05,92.42,2,3,green,green,green
44,3183,-3.6,%,neutral,2.11,15.39,7.34,basic,neutral,neutral,293.363,2.482,2.35,39.82,0,2,green,green,yellow
45,419601,29.5,%,neutral,2.43,9.29,4.77,neutral,neutral,neutral,345.416,2.672,2.43,83.09,1,5,green,green,yellow
46,146,24.5,%,acidic,-0.28,5.45,6.2,zwitterionic,acidic,acidic,361.368,-0.394,0.65,75.01,0,4,green,green,green
47,485080,-3.2,%,neutral,3.7,18.91,-4.83,neutral,neutral,neutral,218.335,3.865,3.7,17.07,0,1,yellow,green,yellow
48,1362567,21.0,%,neutral,-1.65,12.63,4.49,neutral,neutral,neutral,339.451,1.694,-1.65,42.35,1,3,green,green,green
49,113974,-2.3,%,neutral,-3.19,,,neutral,neutral,neutral,94.134,-1.008,-3.19,3.88,0,0,green,green,green
50,16592,-1.5,%,acidic,-0.23,5.62,-2.77,acidic,acidic,acidic,238.157,0.975,-0.22,118.05,1,6,green,green,green
51,115,11.0,%,basic,-0.31,,8.86,basic,basic,basic,162.232,1.11,1.16,16.13,0,1,green,green,green
52,466122,37.7,%,neutral,-0.18,8.58,-3.61,neutral,neutral,neutral,580.535,1.682,-0.16,225.06,8,14,green,red,green
53,5170,-57.2,%,neutral,2.7,7.86,-4.95,acidic,neutral,neutral,272.253,2.815,2.84,86.99,3,5,green,green,yellow
54,139099,-3.3,%,neutral,1.43,14.73,6.02,neutral,neutral,neutral,268.739,1.698,1.45,41.57,1,2,green,green,green
55,27611,6.7,%,neutral,3.92,,6.57,basic,neutral,neutral,325.767,3.27,3.33,30.18,0,2,yellow,green,yellow
56,789,19.8,%,basic,-0.47,14.09,9.67,basic,basic,basic,267.364,1.712,1.76,50.72,2,3,green,green,green
57,1063,8.9,%,neutral,1.78,,-2.93,neutral,neutral,neutral,216.19,1.494,1.78,52.58,0,4,green,green,green
58,49931,17.2,%,acidic,-6.56,3.26,1.8,acidic,acidic,acidic,454.439,-0.619,-0.51,210.54,3,9,green,yellow,green
59,369464,19.6,%,basic,-5.62,,12.33,basic,basic,basic,129.164,-0.946,-0.92,88.99,4,0,green,green,green
60,66016,-0.6,%,neutral,1.67,11.18,-8.14,neutral,neutral,neutral,218.252,1.528,1.67,49.41,1,2,green,green,green
