,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
194,403465,40.1,%,acidic,1.15,4.05,5.58,acidic,acidic,acidic
195,313314,30.3,%,neutral,2.73,13.74,-2.85,neutral,neutral,neutral
196,374182,76.3,%,acidic,3.69,5.11,-2.98,acidic,acidic,acidic
197,486422,-24.9,%,acidic,0.11,3.83,-3.74,acidic,acidic,acidic
198,372438,99.0,%,acidic,3.45,4.43,-3.31,acidic,acidic,acidic
199,116949,94.9,%,acidic,5.02,3.65,6.13,zwitterionic,acidic,acidic
200,1362501,94.6,%,acidic,1.08,-0.63,-1.11,acidic,acidic,acidic
201,442373,85.3,%,acidic,-0.15,-0.75,-0.2,acidic,acidic,acidic
202,374000,96.2,%,acidic,-1.46,-0.88,-0.05,acidic,acidic,acidic
203,1223,92.3,%,acidic,0.25,3.3,2.4,acidic,acidic,acidic
204,418845,51.2,%,acidic,-1.24,4.0,-2.84,acidic,acidic,acidic
205,88100,93.6,%,neutral,5.22,13.68,2.84,neutral,neutral,neutral
206,398458,74.8,%,acidic,3.68,7.09,-1.08,acidic,acidic,neutral
207,675704,63.7,%,acidic,0.89,4.13,4.86,acidic,acidic,acidic
208,699472,85.6,%,acidic,1.36,5.51,-3.93,acidic,acidic,acidic
209,42426,71.3,%,acidic,0.92,6.37,-4.06,acidic,acidic,acidic
210,15090,75.2,%,acidic,2.91,4.26,3.11,acidic,acidic,acidic
211,712273,70.7,%,neutral,5.13,12.87,4.89,neutral,neutral,neutral
212,37316,86.4,%,neutral,4.69,13.39,-1.53,neutral,neutral,neutral
213,675255,79.2,%,acidic,4.91,-0.94,2.66,acidic,acidic,acidic
214,442285,53.8,%,acidic,-0.59,3.77,-0.32,acidic,acidic,acidic
215,1362500,65.3,%,acidic,-0.67,3.77,-0.49,acidic,acidic,acidic
216,140116,98.2,%,acidic,1.06,4.56,-2.84,acidic,acidic,acidic
217,455239,65.9,%,acidic,-10.42,3.04,2.27,acidic,acidic,acidic
218,86042,83.1,%,neutral,1.81,14.97,3.54,neutral,neutral,neutral
219,164064,60.1,%,zwitterionic,-9.27,-2.04,8.23,zwitterionic,zwitterionic,acidic
220,454073,69.3,%,acidic,2.34,-3.44,-6.49,acidic,acidic,acidic
221,417180,98.3,%,acidic,2.44,4.33,-2.74,acidic,acidic,acidic
222,188196,90.1,%,neutral,4.54,11.92,4.42,neutral,neutral,neutral
